timestamp,kwh,building
2024-01-01 00:00:00,32.0,Admin
2024-01-01 01:00:00,75.08,Admin
2024-01-01 02:00:00,35.25,Admin
2024-01-01 03:00:00,77.48,Admin
2024-01-01 04:00:00,43.31,Admin
2024-01-01 05:00:00,47.05,Admin
2024-01-01 06:00:00,65.53,Admin
2024-01-01 07:00:00,40.07,Admin
2024-01-01 08:00:00,33.64,Admin
2024-01-01 09:00:00,35.72,Admin
2024-01-01 10:00:00,60.65,Admin
2024-01-01 11:00:00,26.51,Admin
2024-01-01 12:00:00,26.54,Admin
2024-01-01 13:00:00,52.06,Admin
2024-01-01 14:00:00,60.73,Admin
2024-01-01 15:00:00,33.71,Admin
2024-01-01 16:00:00,38.7,Admin
2024-01-01 17:00:00,41.47,Admin
2024-01-01 18:00:00,34.44,Admin
2024-01-01 19:00:00,42.23,Admin
2024-01-01 20:00:00,49.46,Admin
2024-01-01 21:00:00,38.0,Admin
2024-01-01 22:00:00,77.42,Admin
2024-01-01 23:00:00,32.62,Admin
2024-01-02 00:00:00,65.27,Admin
2024-01-02 01:00:00,69.69,Admin
2024-01-02 02:00:00,38.78,Admin
2024-01-02 03:00:00,58.05,Admin
2024-01-02 04:00:00,31.95,Admin
2024-01-02 05:00:00,59.97,Admin
2024-01-02 06:00:00,73.26,Admin
2024-01-02 07:00:00,71.77,Admin
2024-01-02 08:00:00,78.61,Admin
2024-01-02 09:00:00,73.94,Admin
2024-01-02 10:00:00,68.06,Admin
2024-01-02 11:00:00,64.76,Admin
2024-01-02 12:00:00,39.4,Admin
2024-01-02 13:00:00,22.04,Admin
2024-01-02 14:00:00,56.71,Admin
2024-01-02 15:00:00,50.91,Admin
2024-01-02 16:00:00,41.8,Admin
2024-01-02 17:00:00,40.09,Admin
2024-01-02 18:00:00,25.51,Admin
2024-01-02 19:00:00,36.06,Admin
2024-01-02 20:00:00,67.26,Admin
2024-01-02 21:00:00,73.66,Admin
2024-01-02 22:00:00,72.87,Admin
2024-01-02 23:00:00,75.99,Admin
2024-01-03 00:00:00,76.17,Admin
2024-01-03 01:00:00,24.93,Admin
2024-01-03 02:00:00,77.4,Admin
